<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20010410,00:00:00,1.7038,1.6989,1.7202,1.7168
USDCHF,20010411,00:00:00,1.7168,1.7081,1.7257,1.7105
USDCHF,20010412,00:00:00,1.7105,1.7010,1.7179,1.7053
USDCHF,20010413,00:00:00,1.7053,1.7052,1.7053,1.7053
USDCHF,20010416,00:00:00,1.7128,1.7095,1.7210,1.7134
USDCHF,20010417,00:00:00,1.7134,1.7084,1.7363,1.7277
USDCHF,20010418,00:00:00,1.7276,1.7242,1.7584,1.7300
USDCHF,20010419,00:00:00,1.7300,1.7014,1.7376,1.7043
USDCHF,20010420,00:00:00,1.7044,1.6897,1.7085,1.6942
USDCHF,20010423,00:00:00,1.6961,1.6851,1.7097,1.7050
USDCHF,20010424,00:00:00,1.7050,1.6949,1.7147,1.7125
USDCHF,20010425,00:00:00,1.7124,1.7022,1.7184,1.7059
USDCHF,20010426,00:00:00,1.7059,1.6997,1.7131,1.7025
USDCHF,20010427,00:00:00,1.7025,1.6988,1.7309,1.7273
USDCHF,20010430,00:00:00,1.7240,1.7229,1.7377,1.7311
USDCHF,20010501,00:00:00,1.7311,1.7242,1.7377,1.7252
USDCHF,20010502,00:00:00,1.7251,1.7237,1.7356,1.7263
USDCHF,20010503,00:00:00,1.7263,1.7194,1.7372,1.7326
USDCHF,20010504,00:00:00,1.7328,1.7153,1.7334,1.7286
USDCHF,20010507,00:00:00,1.7295,1.7274,1.7337,1.7312
USDCHF,20010508,00:00:00,1.7312,1.7296,1.7460,1.7414
USDCHF,20010509,00:00:00,1.7414,1.7379,1.7454,1.7385
USDCHF,20010510,00:00:00,1.7385,1.7283,1.7486,1.7428
USDCHF,20010511,00:00:00,1.7428,1.7419,1.7544,1.7493
USDCHF,20010514,00:00:00,1.7506,1.7497,1.7546,1.7517
USDCHF,20010515,00:00:00,1.7517,1.7415,1.7524,1.7436
USDCHF,20010516,00:00:00,1.7435,1.7280,1.7503,1.7341
USDCHF,20010517,00:00:00,1.7341,1.7261,1.7429,1.7388
USDCHF,20010518,00:00:00,1.7388,1.7371,1.7514,1.7434
USDCHF,20010521,00:00:00,1.7436,1.7397,1.7526,1.7482
USDCHF,20010522,00:00:00,1.7482,1.7468,1.7708,1.7663
USDCHF,20010523,00:00:00,1.7663,1.7649,1.7829,1.7811
USDCHF,20010524,00:00:00,1.7811,1.7811,1.7811,1.7811
USDCHF,20010525,00:00:00,1.7768,1.7707,1.7861,1.7749
USDCHF,20010528,00:00:00,1.7745,1.7731,1.7794,1.7770
USDCHF,20010529,00:00:00,1.7770,1.7735,1.7874,1.7796
USDCHF,20010530,00:00:00,1.7796,1.7749,1.7849,1.7809
USDCHF,20010531,00:00:00,1.7809,1.7786,1.7996,1.7972
USDCHF,20010601,00:00:00,1.7974,1.7900,1.8011,1.7932
USDCHF,20010604,00:00:00,1.7955,1.7824,1.7978,1.7934
USDCHF,20010605,00:00:00,1.7935,1.7749,1.7968,1.7756
